Gene.symbol,P.Value,logFC,Cell Line
IL15RA,0.0117,-0.50054376,MDA
TRAF5,0.0441,-0.50051089,MDA
RNF13,0.00519,-0.5002552,MDA
CEP350,0.0354,-0.50005223,MDA
COX5B,0.00261,-0.49989923,MDA
ATP6V1E1,0.0196,-0.49982243,MDA
ABCA1,0.017,-0.49975347,MDA
EIF3K,0.00333,-0.49891329,MDA
PIP4K2B,0.00971,-0.49823335,MDA
PIK3R3,0.0393,-0.4977175,MDA
SESN1,0.0197,-0.49685907,MDA
DUSP12,0.0197,-0.49650754,MDA
SRD5A1,0.0445,-0.49632005,MDA
ISCA1,0.0103,-0.49623318,MDA
SIVA1,0.038,-0.49592454,MDA
CYB561,0.0244,-0.49547857,MDA
PHACTR2,0.0254,-0.49446958,MDA
ARRB1,0.0114,-0.49435061,MDA
DNAJB12,0.0336,-0.49347156,MDA
TMEM43,0.00334,-0.49331936,MDA
SLC1A4,0.0429,-0.4932307,MDA
CNOT8,0.0064,-0.49318779,MDA
CRBN,0.0242,-0.49314759,MDA
DUSP4,0.011,-0.49310833,MDA
TGFB2,0.0113,-0.4928958,MDA
LOC101060817///GCSH,0.0192,-0.49289192,MDA
STC1,0.00414,-0.49274214,MDA
SCRIB,0.0414,-0.49258911,MDA
BLVRB,0.0315,-0.49249495,MDA
PTGES,0.0316,-0.49230945,MDA
BTG1,0.00875,-0.49211719,MDA
SF3A2,0.0473,-0.49207758,MDA
PLA2G16,0.0048,-0.49129115,MDA
PSIP1,0.013,-0.49118292,MDA
CTNNB1,0.0245,-0.49105094,MDA
FKBP3,0.0023,-0.49103457,MDA
ITGA3,0.0249,-0.49102649,MDA
EBAG9,0.0245,-0.49102511,MDA
AP3M2,0.0163,-0.49073521,MDA
SPOP,0.0111,-0.49066446,MDA
KPNA1,0.0063,-0.49054245,MDA
CCNH,0.00712,-0.49040742,MDA
POLG2,0.0181,-0.4904018,MDA
ADPGK,0.00766,-0.49037981,MDA
LOC101930322///ABCC6,0.0371,-0.49020407,MDA
EIF5,0.00262,-0.49019131,MDA
LOC101930416///LOC101929792///LOC100996724///PDE4DIP,0.0103,-0.48940443,MDA
BNIP3L,0.00215,-0.4884025,MDA
NF1P9///NF1,0.0213,-0.48821634,MDA
HBEGF,0.00325,-0.48791379,MDA
WDR48,0.0424,-0.4879121,MDA
RPS6KA2,0.0147,-0.48779952,MDA
CHMP2B,0.0026,-0.48769235,MDA
PMVK,0.00709,-0.48704738,MDA
ADAT1,0.0284,-0.48703896,MDA
C15orf38-AP3S2///AP3S2,0.00345,-0.48680806,MDA
SPG21,0.0116,-0.48656075,MDA
STAM2,0.00679,-0.48653901,MDA
PIGV,0.0067,-0.48618461,MDA
RIOK3,0.0236,-0.48564253,MDA
TMEM183B///TMEM183A,0.0268,-0.4852868,MDA
PPIP5K2,0.00629,-0.48520898,MDA
ATP5D,0.0406,-0.48482309,MDA
NFE2L1,0.0155,-0.48476026,MDA
BRD4,0.0292,-0.484622,MDA
NKX3-1,0.00716,-0.48433135,MDA
PI4KAP1///PI4KAP2///PI4KA,0.00751,-0.48414238,MDA
RBM12,0.0387,-0.48381984,MDA
CHURC1-FNTB///FNTB,0.0413,-0.48381154,MDA
ADAM10,0.0236,-0.48354976,MDA
NOTCH2,0.00773,-0.48308689,MDA
KPNB1,0.00887,-0.4824271,MDA
NMT1,0.0199,-0.48233903,MDA
PI4KA,0.0204,-0.48187701,MDA
IRF1,0.00217,-0.4816998,MDA
ENSA,0.00266,-0.48162061,MDA
GPS2,0.00815,-0.48108887,MDA
UBE2G2,0.0357,-0.48056048,MDA
DNASE2,0.00293,-0.48054958,MDA
NSL1,0.0195,-0.48046587,MDA
TRIM14,0.0393,-0.48027631,MDA
GALNT2,0.0111,-0.4800852,MDA
ARFGEF2,0.0206,-0.48007934,MDA
SNX4,0.0165,-0.47986505,MDA
SLC2A4RG,0.0119,-0.47982846,MDA
SEC61B,0.0165,-0.47958985,MDA
SLC25A12,0.00773,-0.47863749,MDA
PTP4A1,0.0276,-0.47834061,MDA
HIGD2A,0.0339,-0.47718651,MDA
TMED9,0.00935,-0.47678215,MDA
LOC102724364///SEC22B,0.0102,-0.47664361,MDA
GLRX2,0.00609,-0.47651646,MDA
RBM47,0.0219,-0.47618675,MDA
CTBS,0.0334,-0.47587273,MDA
DCAF11,0.0173,-0.47573119,MDA
APPBP2,0.00892,-0.47565787,MDA
HDGFRP3,0.0243,-0.47537596,MDA
ZNF552,0.0385,-0.47513626,MDA
TMEM186,0.015,-0.47478102,MDA
SKP1,0.0112,-0.47472403,MDA
CNPY2,0.00954,-0.47462709,MDA
MYL9,0.015,-0.47447669,MDA
PARP6,0.00633,-0.47442762,MDA
RTN2,0.0208,-0.47384314,MDA
ATRAID,0.00819,-0.47382731,MDA
ZNF688,0.0286,-0.4736693,MDA
ARMC9,0.0167,-0.47366182,MDA
ARMC1,0.0237,-0.47352995,MDA
C1QTNF3-AMACR///AMACR,0.0242,-0.47325996,MDA
RPS27L,0.00404,-0.47297981,MDA
NAE1,0.00721,-0.472768,MDA
GRPR,0.033,-0.47217008,MDA
CDC40,0.0353,-0.47180783,MDA
UQCRC2,0.024,-0.47179516,MDA
TGOLN2,0.0153,-0.47177108,MDA
VGLL4,0.0483,-0.47152826,MDA
MEF2A,0.0347,-0.47113793,MDA
DNAJA1,0.00658,-0.47049028,MDA
SPCS1,0.0162,-0.47014737,MDA
OIP5,0.0296,-0.46946422,MDA
SARAF,0.0248,-0.46893458,MDA
UBE2G1,0.00522,-0.46880727,MDA
GTF3C1,0.0458,-0.468707,MDA
SLC35A5,0.00699,-0.46859778,MDA
HIBCH,0.0375,-0.46777759,MDA
PSEN2,0.0133,-0.46703827,MDA
RFX5,0.00588,-0.46531791,MDA
TMEM97,0.00675,-0.4651802,MDA
THOC6,0.0416,-0.46459216,MDA
PHF7,0.0101,-0.46405317,MDA
HSD17B10,0.0145,-0.46404968,MDA
KIAA1033,0.00736,-0.46378935,MDA
MRPL18,0.0183,-0.46374987,MDA
CKAP4,0.00682,-0.46329741,MDA
KIAA0368,0.0459,-0.46303822,MDA
ASNSD1,0.032,-0.46296599,MDA
KIF23,0.0129,-0.46243252,MDA
SNX11,0.0395,-0.46220146,MDA
SERINC5,0.0362,-0.4620771,MDA
OSER1,0.0332,-0.46163941,MDA
ABCC10,0.0239,-0.46083734,MDA
TNFRSF21,0.00498,-0.46055135,MDA
SORT1,0.0244,-0.46054066,MDA
PEX3,0.00815,-0.4605243,MDA
KIAA0930,0.0225,-0.46035688,MDA
COMT,0.0151,-0.4601287,MDA
KIF21B,0.0489,-0.46009358,MDA
B2M,0.0461,-0.45969642,MDA
TMEM30A,0.00953,-0.45877235,MDA
TBL1X,0.0492,-0.45870854,MDA
AGA,0.026,-0.45857578,MDA
MIR6732///ZC3H12A,0.0338,-0.45843971,MDA
PCM1,0.045,-0.45788709,MDA
PMS2P9///PMS2P5,0.0455,-0.45732328,MDA
VPS8,0.00999,-0.45725466,MDA
CREBBP,0.0333,-0.45720622,MDA
ENPP4,0.0242,-0.45717715,MDA
PKM,0.00825,-0.45695181,MDA
TUBB3,0.0288,-0.45627515,MDA
NPC2,0.00951,-0.45625735,MDA
LAMA3,0.0139,-0.45606886,MDA
PEX3,0.00645,-0.45597537,MDA
MGST3,0.0173,-0.45575013,MDA
NNT,0.0171,-0.45554989,MDA
VPS11,0.019,-0.45498051,MDA
PTGES,0.0083,-0.45467305,MDA
TRMT11,0.0281,-0.45451545,MDA
TOR1AIP1,0.0146,-0.45438395,MDA
PARD6A,0.0125,-0.45341594,MDA
GPAA1,0.0125,-0.45295924,MDA
SNN,0.0101,-0.45267618,MDA
PLK2,0.00662,-0.45249775,MDA
TBCC,0.031,-0.45240278,MDA
SCCPDH,0.0218,-0.45222283,MDA
MMP9,0.0182,-0.45201633,MDA
LIMS4///LIMS1,0.0106,-0.45127842,MDA
CLPTM1,0.0073,-0.4509493,MDA
LOC101060373///NOMO3///NOMO2///NOMO1,0.0114,-0.45090283,MDA
GLT8D1,0.00997,-0.45070716,MDA
KAT2B,0.0274,-0.45014965,MDA
GOLGA2,0.0299,-0.44981388,MDA
LSG1,0.0208,-0.44860893,MDA
DCTN3,0.00457,-0.44857889,MDA
ZCCHC10,0.0268,-0.44846458,MDA
ATP6V1C1,0.016,-0.4481849,MDA
ATG3,0.00746,-0.4479527,MDA
SERINC3,0.00614,-0.44759615,MDA
KDELR2,0.0233,-0.44688183,MDA
TNPO1,0.0101,-0.446764,MDA
IMPA1,0.0152,-0.44601357,MDA
EXOC7,0.0124,-0.44563009,MDA
DDX17,0.00607,-0.44528436,MDA
HNRNPL,0.0208,-0.4451645,MDA
SDHC,0.0161,-0.44506498,MDA
KDELR3,0.012,-0.44487092,MDA
UBBP1,0.00659,-0.44480441,MDA
POLR2C,0.02,-0.44446853,MDA
TRIM22,0.018,-0.44407859,MDA
MRPS28,0.0112,-0.44405275,MDA
NDUFA13,0.00972,-0.44383839,MDA
MRPS14,0.0173,-0.44356618,MDA
TMEM147,0.00835,-0.44297131,MDA
NDUFB6,0.0221,-0.44158142,MDA
NFE2L1,0.0337,-0.44142535,MDA
SKP1,0.00807,-0.44114858,MDA
CEP350,0.0276,-0.44113593,MDA
DIP2C,0.0364,-0.44058952,MDA
RAB14,0.0208,-0.43969863,MDA
SUB1,0.0403,-0.43947662,MDA
PAIP1,0.0444,-0.43921166,MDA
PTPN1,0.0322,-0.43908966,MDA
P4HB,0.00486,-0.43890382,MDA
GNA11,0.0284,-0.43880237,MDA
PSAP,0.0139,-0.43866084,MDA
TRANK1,0.0334,-0.43853253,MDA
SERINC3,0.00698,-0.43818732,MDA
MAN2B1,0.0116,-0.43816138,MDA
UBE2D2,0.0454,-0.43783401,MDA
SUPT4H1,0.0278,-0.4377496,MDA
SPOP,0.00853,-0.43757474,MDA
MRPL57,0.00787,-0.43714271,MDA
LYST,0.0465,-0.43682292,MDA
SERINC3,0.0118,-0.43628321,MDA
FLOT1,0.0225,-0.43558983,MDA
TBC1D29,0.0408,-0.43556423,MDA
NQO1,0.0319,-0.43519011,MDA
BDNF,0.0487,-0.43505571,MDA
UBXN4,0.0194,-0.43447955,MDA
RMDN1,0.0252,-0.43430903,MDA
DDX18,0.0111,-0.43416944,MDA
B2M,0.0154,-0.43410649,MDA
C6orf120,0.0159,-0.43399601,MDA
NUBPL,0.0484,-0.43347988,MDA
FTH1,0.0242,-0.43308331,MDA
IFI16,0.00753,-0.43255958,MDA
C5orf22,0.024,-0.43255653,MDA
TXNIP,0.0265,-0.43247597,MDA
SRD5A1,0.0191,-0.43218469,MDA
RNF130,0.016,-0.43202396,MDA
DUSP3,0.0438,-0.43199939,MDA
ARL2BP,0.00784,-0.43182628,MDA
SNRPA1,0.0223,-0.43169181,MDA
EIF1AX,0.0197,-0.43112243,MDA
TMX1,0.0149,-0.43087946,MDA
MBTPS1,0.0171,-0.43075404,MDA
COPS5,0.00648,-0.43074926,MDA
DHX30,0.0241,-0.43028558,MDA
ERI2,0.0296,-0.43001191,MDA
IQGAP1,0.0348,-0.42966397,MDA
TRIP4,0.0252,-0.42957892,MDA
MFAP3,0.0262,-0.42895562,MDA
ACTR6,0.0234,-0.42793403,MDA
GNAI3,0.0375,-0.42714744,MDA
RABL2A///RABL2B,0.0472,-0.42676579,MDA
IFI16,0.015,-0.42483824,MDA
UBXN2B,0.0458,-0.42446662,MDA
STX7,0.0317,-0.42414721,MDA
TBCB,0.022,-0.42358173,MDA
PCMT1,0.00983,-0.42337945,MDA
ARL4A,0.0363,-0.42254826,MDA
BRD8,0.0248,-0.42244212,MDA
AGA,0.0401,-0.42173986,MDA
SLC31A2,0.0164,-0.42169198,MDA
NDUFB4,0.0165,-0.42162208,MDA
IPO4,0.0242,-0.42161534,MDA
ALDH9A1,0.0185,-0.42153452,MDA
CYB5R1,0.0289,-0.42139387,MDA
TTF2,0.0414,-0.42115815,MDA
TUBA4A,0.014,-0.42078376,MDA
ADIPOR1,0.00727,-0.42077568,MDA
YY1,0.0227,-0.42070117,MDA
ELK1,0.02,-0.41948626,MDA
METTL17,0.0253,-0.41925667,MDA
SHC1,0.0264,-0.41902947,MDA
TRIM32,0.0254,-0.41894205,MDA
TMED3,0.0107,-0.41824257,MDA
TSPO,0.00956,-0.41792953,MDA
HSPE1,0.0205,-0.41742325,MDA
LOC100506639///ZNF131,0.0213,-0.41590245,MDA
HSPA4,0.0149,-0.41581836,MDA
NFIB,0.0434,-0.41539892,MDA
BCKDHB,0.0163,-0.41495863,MDA
SRSF5,0.0075,-0.41438754,MDA
RAB7A,0.0158,-0.41438437,MDA
TSN,0.0076,-0.41402855,MDA
UCHL3,0.011,-0.41383833,MDA
FAM134A,0.0187,-0.41373564,MDA
B3GALNT1,0.029,-0.41344908,MDA
MIR7113///MIR4691///NDUFS8,0.0127,-0.41329531,MDA
PPP1R2,0.027,-0.41318174,MDA
CDC42BPA,0.0381,-0.41305509,MDA
PARP2,0.0161,-0.41278029,MDA
STAT1,0.0275,-0.4124643,MDA
BMP1,0.0171,-0.41225827,MDA
NDUFA3,0.0287,-0.41190647,MDA
ELMO2,0.0101,-0.41144351,MDA
SETD3,0.0184,-0.41137202,MDA
MIR3652///HSP90B1,0.0461,-0.4106513,MDA
LUC7L3,0.0215,-0.41064102,MDA
P4HB,0.024,-0.41031996,MDA
FAM3C,0.0163,-0.41023085,MDA
UCKL1,0.0236,-0.41022325,MDA
GALNT1,0.0294,-0.40996139,MDA
CLPTM1,0.0394,-0.40989162,MDA
CAMK2G,0.0355,-0.40896713,MDA
EXOC2,0.0292,-0.40873739,MDA
ANAPC13,0.0129,-0.40767042,MDA
FHOD3,0.0427,-0.40749607,MDA
TCTN3,0.0123,-0.40734001,MDA
TRIP13,0.0204,-0.40733693,MDA
SAE1,0.00979,-0.40643064,MDA
RABGGTB,0.0366,-0.40628888,MDA
CLUAP1,0.0413,-0.40627586,MDA
POLR2K,0.0265,-0.40519393,MDA
TBCE,0.0195,-0.40487279,MDA
TAB2,0.0429,-0.40481921,MDA
MINA,0.0246,-0.40472537,MDA
UXS1,0.0269,-0.40382808,MDA
LRIG2,0.015,-0.40309319,MDA
OASL,0.0348,-0.40273921,MDA
WDR13,0.0415,-0.40231222,MDA
LOC101927144///ACYP2,0.011,-0.40225972,MDA
KIF5B,0.0109,-0.40223756,MDA
TANK,0.0215,-0.40161301,MDA
TMEM115,0.00929,-0.401086,MDA
PPIG,0.0339,-0.40104929,MDA
ANP32A,0.0363,-0.4006841,MDA
COTL1,0.011,-0.40047296,MDA
ATP6V1A,0.0285,-0.40016279,MDA
HFE,0.0342,-0.3997573,MDA
STAT3,0.0382,-0.39970238,MDA
MCM3AP,0.0142,-0.39918195,MDA
PEX14,0.0219,-0.39851856,MDA
EIF2D,0.0276,-0.39837216,MDA
SLC25A44,0.0375,-0.39720955,MDA
SMAD2,0.0216,-0.39686236,MDA
LGALS8,0.0322,-0.39657244,MDA
SSB,0.0441,-0.39612755,MDA
NIP7,0.0271,-0.39568587,MDA
IFT52,0.0418,-0.3951315,MDA
TMEM70,0.00842,-0.39502408,MDA
PTTG1IP,0.0152,-0.39477602,MDA
PRKAR1A,0.0428,-0.39430508,MDA
MTF2,0.0488,-0.39429404,MDA
NQO1,0.0205,-0.39317417,MDA
MLPH,0.00974,-0.39297117,MDA
HSPA14,0.0173,-0.39290456,MDA
YIPF5,0.0433,-0.39269462,MDA
CHMP5,0.0225,-0.3926667,MDA
RANBP9,0.0404,-0.39237497,MDA
ADAR,0.0288,-0.39207875,MDA
CDC27,0.0403,-0.39207259,MDA
MBNL1,0.046,-0.39096559,MDA
ZMYM6,0.0392,-0.39093728,MDA
NDUFS7,0.0132,-0.39093689,MDA
MECOM,0.0164,-0.39058678,MDA
CAPZA1,0.0101,-0.38996341,MDA
GRHPR,0.0416,-0.38984651,MDA
UQCRC1,0.0207,-0.38949845,MDA
PJA2,0.0315,-0.38928238,MDA
ATP5H,0.0214,-0.38868306,MDA
BASP1,0.0117,-0.38849313,MDA
VCPKMT,0.0453,-0.38847883,MDA
SEL1L,0.0093,-0.38775873,MDA
AK1,0.0427,-0.38723363,MDA
FERMT2,0.0187,-0.38717488,MDA
EIF1AX,0.0345,-0.38664721,MDA
PACS2,0.0385,-0.38644519,MDA
BCL2L2-PABPN1///PABPN1///BCL2L2,0.008,-0.38643922,MDA
CAST,0.0109,-0.38584358,MDA
PEBP1,0.015,-0.38574142,MDA
ZCCHC14,0.0373,-0.38561859,MDA
SPTSSA,0.0228,-0.38542447,MDA
THEMIS2,0.033,-0.38511048,MDA
CDC42EP4,0.0229,-0.38466089,MDA
FLOT1,0.0188,-0.38457724,MDA
SH3BP4,0.0458,-0.38389924,MDA
HSPE1-MOB4///MOB4,0.0317,-0.38287469,MDA
HSF2,0.0139,-0.3827569,MDA
TOMM20,0.00979,-0.38253033,MDA
TTC37,0.0308,-0.38203424,MDA
CAMK2G,0.0478,-0.38164548,MDA
PMPCA,0.0308,-0.38147864,MDA
ILF2,0.0157,-0.38129865,MDA
RFK,0.0122,-0.380767,MDA
FGFR1OP,0.0293,-0.38058168,MDA
GBAS,0.0192,-0.38035347,MDA
GALNT1,0.0138,-0.38003234,MDA
LARP6,0.0196,-0.37899251,MDA
FBXO21,0.0319,-0.37857304,MDA
ATF2,0.0382,-0.37828732,MDA
NOL3,0.0124,-0.37765919,MDA
SAMM50,0.0161,-0.37743874,MDA
PORCN,0.0497,-0.37666578,MDA
EMP3,0.019,-0.37572619,MDA
CYB561,0.0412,-0.3755133,MDA
GPAA1,0.0234,-0.37544991,MDA
GTDC1,0.0189,-0.3748967,MDA
PHIP,0.0176,-0.37420387,MDA
SIAH1,0.0232,-0.37394897,MDA
ARL2,0.0201,-0.37380875,MDA
SDHC,0.0139,-0.3734181,MDA
GPN3,0.0317,-0.37302016,MDA
DLK2,0.046,-0.37240532,MDA
TAB2,0.0188,-0.37116367,MDA
ZNF468,0.0398,-0.37099292,MDA
DDX49,0.0194,-0.37012612,MDA
MRPL22,0.0146,-0.36939107,MDA
TXNL4A,0.0292,-0.36852005,MDA
ST13,0.0128,-0.36748399,MDA
HIF1A,0.0156,-0.36582977,MDA
MAP4K5,0.0254,-0.36574837,MDA
UBE2L6,0.0128,-0.36570303,MDA
TSTA3,0.015,-0.36474056,MDA
MPZL1,0.0208,-0.36444788,MDA
AKR7A2,0.0166,-0.36407703,MDA
TMEM5,0.0182,-0.3626607,MDA
SNX3,0.016,-0.36161727,MDA
MRPS22,0.0173,-0.36155864,MDA
MTDH,0.0356,-0.36141916,MDA
PARP2,0.0402,-0.36072208,MDA
DIDO1,0.0198,-0.36058241,MDA
CMTM6,0.0262,-0.36032198,MDA
PLPP3,0.0173,-0.36020746,MDA
SEC62,0.0225,-0.3598705,MDA
COX5B,0.0451,-0.35953242,MDA
STK3,0.0333,-0.35927521,MDA
KRR1,0.015,-0.35904878,MDA
MPDZ,0.0466,-0.35776259,MDA
NDUFAF3,0.0361,-0.35742241,MDA
RAB9A,0.0209,-0.35672611,MDA
ARTN,0.0455,-0.35624113,MDA
DUSP3,0.0299,-0.35595482,MDA
PPT1,0.0214,-0.35572386,MDA
CFDP1,0.038,-0.35554698,MDA
B4GALT5,0.0336,-0.3551654,MDA
ADH5,0.0237,-0.35490231,MDA
RANGRF,0.0186,-0.35430846,MDA
VKORC1,0.0249,-0.35398968,MDA
EXOSC5,0.0451,-0.3529173,MDA
MDFIC,0.0205,-0.35262536,MDA
CYB561,0.0403,-0.35163224,MDA
ISG20L2,0.0358,-0.35118645,MDA
ATP2B1,0.0241,-0.35090719,MDA
TRMT112,0.0214,-0.3508293,MDA
DERL1,0.027,-0.34961278,MDA
ZBTB11,0.0485,-0.34954866,MDA
NAB1,0.0274,-0.3493585,MDA
PHTF1,0.0476,-0.34706489,MDA
ATP6V1B2,0.0246,-0.3469906,MDA
ZNF45,0.0394,-0.34686067,MDA
SDHC,0.0247,-0.34515183,MDA
MRPS18A,0.0323,-0.34502226,MDA
PDE8A,0.0255,-0.34483981,MDA
CSDE1,0.0481,-0.3446473,MDA
PDIA6,0.0302,-0.34315097,MDA
C14orf2,0.0271,-0.34279159,MDA
IQGAP1,0.049,-0.34128263,MDA
CDK5,0.0188,-0.34079956,MDA
AMZ2,0.0172,-0.34074392,MDA
CLDND1,0.0251,-0.34072713,MDA
GLOD4,0.0285,-0.34018957,MDA
SERINC3,0.0363,-0.34010679,MDA
OSBPL8,0.0389,-0.33966342,MDA
TMEM97,0.0353,-0.33966255,MDA
LAPTM4A,0.0169,-0.3395337,MDA
CRELD2,0.0183,-0.3386979,MDA
TMEM97,0.0378,-0.33868666,MDA
KPNA1,0.0211,-0.33722924,MDA
DDOST,0.0284,-0.33699465,MDA
TSPYL5,0.0257,-0.33676998,MDA
PLPP1,0.0439,-0.33635619,MDA
ACAP2,0.0209,-0.33612403,MDA
NDUFAB1,0.0223,-0.33603006,MDA
HNRNPA0,0.0328,-0.33401756,MDA
PCBD1,0.0476,-0.33379388,MDA
GBE1,0.0374,-0.33327425,MDA
COMT,0.0405,-0.33280095,MDA
FAHD2A,0.0347,-0.33237451,MDA
SNORA29///TCP1,0.0398,-0.33163904,MDA
TAF7,0.0417,-0.32963698,MDA
NRP1,0.0454,-0.32926428,MDA
TPP1,0.0391,-0.32580582,MDA
UQCRC2,0.0228,-0.32559749,MDA
GTSE1,0.0434,-0.32547336,MDA
THUMPD1,0.0424,-0.32468609,MDA
B4GALT7,0.0493,-0.32458081,MDA
DUT,0.0407,-0.3233628,MDA
FBXO38,0.0424,-0.32183298,MDA
COPG1,0.0449,-0.32155248,MDA
HMGXB3,0.0419,-0.32152631,MDA
H3F3AP4///H3F3B///H3F3A,0.0482,-0.32058569,MDA
CCND1,0.0326,-0.32045041,MDA
SNX3,0.0458,-0.31987158,MDA
IFT57,0.0216,-0.31976169,MDA
STAM,0.0461,-0.31914069,MDA
EMC3,0.0426,-0.31863043,MDA
ERCC1,0.0475,-0.31861696,MDA
IL6ST,0.0286,-0.31786387,MDA
GABARAPL2,0.0409,-0.31786189,MDA
CCNL1,0.0409,-0.31772777,MDA
HSD17B4,0.0371,-0.31675626,MDA
IFI16,0.029,-0.31656745,MDA
RPL26L1,0.0218,-0.31450415,MDA
TOMM70,0.034,-0.31228109,MDA
HLA-DQB1,0.0441,-0.31196718,MDA
EFL1,0.04,-0.31025694,MDA
PDIA6,0.0413,-0.30755299,MDA
GORASP2,0.0345,-0.30732507,MDA
SPDL1,0.0422,-0.30596582,MDA
DNAJC13,0.0369,-0.30592816,MDA
LSM2,0.0357,-0.30542291,MDA
CD47,0.0219,-0.30530005,MDA
RNPS1,0.0305,-0.30455328,MDA
CAMLG,0.0397,-0.30390126,MDA
PLAUR,0.0462,-0.30376343,MDA
NET1,0.0465,-0.30192319,MDA
PELO,0.0266,-0.30148287,MDA
ZBTB5,0.0496,-0.3005981,MDA
TBCA,0.0458,-0.30023634,MDA
HGH1,0.0393,-0.29602952,MDA
PRKD3,0.0414,-0.29594925,MDA
BTD,0.0462,-0.29582473,MDA
ACAT1,0.0399,-0.29482573,MDA
NDUFA6,0.0469,-0.29334835,MDA
ATG5,0.0446,-0.2915482,MDA
NTAN1,0.0415,-0.29038141,MDA
LIPA,0.0499,-0.28996264,MDA
SDHC,0.0366,-0.28934585,MDA
C14orf166,0.0447,-0.28922503,MDA
POLR2I,0.042,-0.28814975,MDA
SKAP2,0.0477,-0.28508287,MDA
DNPH1,0.0488,-0.28428226,MDA
PTP4A1,0.0423,-0.26716255,MDA
LAMP2,0.0433,-0.26429122,MDA
IFT20,0.0486,-0.2609696,MDA
ATP5G3,0.0491,-0.2587122,MDA
CSRP1,0.0481,0.2601868,MDA
FGFR1OP,0.0484,0.26055656,MDA
BZW1,0.0445,0.26325905,MDA
OSBPL9,0.0495,0.27110053,MDA
TAF6,0.0476,0.27182689,MDA
STAU1,0.0429,0.27229936,MDA
MDH2,0.0477,0.27720486,MDA
SUPV3L1,0.0345,0.27807932,MDA
PDGFC,0.0389,0.27989557,MDA
MAFF,0.0467,0.28128272,MDA
SLC35G2,0.0406,0.28417192,MDA
PPA2,0.0461,0.28739708,MDA
S1PR5,0.0366,0.28944862,MDA
SEH1L,0.0479,0.29401787,MDA
VBP1,0.0363,0.29526656,MDA
PRPF4B,0.0419,0.29608515,MDA
GLO1,0.0437,0.30149753,MDA
PPA1,0.0321,0.30151625,MDA
EIF3J,0.0373,0.30260212,MDA
UGP2,0.0403,0.30581311,MDA
STMN1,0.0423,0.30665113,MDA
BCL10,0.0433,0.30715427,MDA
ERF,0.0418,0.30721764,MDA
FAM49B,0.0335,0.30820264,MDA
MRPL39,0.0448,0.30925777,MDA
RTN4,0.0297,0.30953579,MDA
NDUFC2-KCTD14///NDUFC2,0.0414,0.30988427,MDA
NDUFB8,0.0313,0.31008045,MDA
EXT2,0.0474,0.3105779,MDA
ATPIF1,0.0299,0.31059439,MDA
NCK2,0.0329,0.31130624,MDA
IFT122,0.0446,0.3131146,MDA
AIMP2,0.0444,0.31315238,MDA
EEF2,0.036,0.31358916,MDA
XPNPEP1,0.0358,0.31379433,MDA
TMPO,0.0241,0.31421663,MDA
MMP24-AS1,0.0273,0.31436445,MDA
ADK,0.0397,0.31520515,MDA
CALM3///CALM2///CALM1,0.0225,0.31640123,MDA
RNF10,0.0499,0.31717715,MDA
M6PR///PHC1,0.0366,0.31849522,MDA
DNAJB6,0.0367,0.31871291,MDA
KANSL2,0.0331,0.31903386,MDA
SLC39A4,0.028,0.3196268,MDA
DDRGK1,0.0443,0.32020605,MDA
FABP5,0.0278,0.32084354,MDA
STX18,0.0376,0.32105253,MDA
SEC24B,0.0349,0.32276697,MDA
SH3BGRL3,0.0353,0.32282992,MDA
PARK7,0.0442,0.32296233,MDA
CCT6A,0.0318,0.32340079,MDA
DNTTIP2,0.0302,0.32371214,MDA
APBB2,0.0452,0.32522994,MDA
EFEMP1,0.0375,0.32609682,MDA
DBI,0.0371,0.32708148,MDA
TMX2-CTNND1///CTNND1,0.049,0.32774772,MDA
LRRC42,0.0493,0.32807225,MDA
MRPL48,0.0445,0.32916703,MDA
XPO4,0.0462,0.32932714,MDA
RAC1,0.0243,0.3297253,MDA
MIOS,0.032,0.33266244,MDA
MED17,0.0343,0.33271415,MDA
TTC19,0.0389,0.33285445,MDA
TUBGCP4,0.0406,0.33325432,MDA
LRRC59,0.0235,0.33380475,MDA
EHBP1L1,0.046,0.33381415,MDA
SMCHD1,0.0325,0.33421143,MDA
ATP6V0E2,0.0354,0.33512186,MDA
SPINK4,0.0392,0.33516345,MDA
IL13RA1,0.0369,0.33519202,MDA
PAPSS2,0.0359,0.33548015,MDA
JOSD1,0.039,0.33626512,MDA
NPEPPS,0.0171,0.33701007,MDA
HNRNPH3,0.0382,0.3377688,MDA
STK25,0.0185,0.33931929,MDA
DDX21,0.021,0.33976098,MDA
METTL7A,0.0387,0.3399894,MDA
EIF3M,0.0363,0.34021721,MDA
ZDHHC3,0.0353,0.34021914,MDA
EIF3A,0.0453,0.34040281,MDA
POFUT2,0.0451,0.34051997,MDA
GTF2F1,0.0332,0.34220684,MDA
RBM12,0.0203,0.34286615,MDA
BBIP1,0.0194,0.34355199,MDA
TDRD7,0.0393,0.3440147,MDA
MED20,0.0264,0.34402915,MDA
PHLDA1,0.0488,0.34439416,MDA
FUBP1,0.043,0.34456649,MDA
PIGA,0.0405,0.34564797,MDA
GLRB,0.0364,0.3459148,MDA
EEF2,0.0486,0.34649828,MDA
PTEN,0.0256,0.34793952,MDA
ZSCAN26,0.029,0.34845026,MDA
CALD1,0.0304,0.34845287,MDA
ILF3,0.0379,0.34881147,MDA
ACTR1A,0.0419,0.34901978,MDA
